Type;FSWP-8;
6237.3496093750;0.0002205573;
6309.5727539062;0.0002208468;
6382.6357421875;0.0002227147;
6456.5415039062;0.0002261690;
6531.3061523438;0.0002306997;
6606.9335937500;0.0002352413;
6683.4399414062;0.0002383468;
6760.8286132812;0.0002399089;
6839.1171875000;0.0002427224;
6918.3081054688;0.0002465313;
6998.4204101562;0.0002505982;
7079.4560546875;0.0002542626;
7161.4345703125;0.0002569012;
7244.3579101562;0.0002591175;
7328.2456054688;0.0002624266;
7413.1005859375;0.0002663093;
7498.9418945312;0.0002704514;
7585.7778320312;0.0002738807;
7673.6147460938;0.0002762161;
7762.4731445312;0.0002767753;
7852.3559570312;0.0002780502;
7943.2841796875;0.0002813144;
8035.2607421875;0.0002847659;
8128.3066406250;0.0002873261;
8222.4257812500;0.0002902928;
8317.6396484375;0.0002933088;
8413.9501953125;0.0002955165;
8511.3818359375;0.0002978665;
8609.9365234375;0.0003012986;
8709.6367187500;0.0003046474;
8810.4873046875;0.0003063374;
8912.5107421875;0.0003070351;
9015.7099609375;0.0003096288;
9120.1093750000;0.0003136788;
9225.7128906250;0.0003174761;
9332.5439453125;0.0003236377;
9440.6064453125;0.0003342248;
9549.9267578125;0.0003432621;
9660.5068359375;0.0003524359;
9772.3720703125;0.0003618007;
9885.5283203125;0.0003661167;
10000.0000000000;0.0003566355;
10115.7968750000;0.0003594383;
10232.9355468750;0.0003619650;
10351.4189453125;0.0003642263;
10471.2851562500;0.0003664457;
10592.5400390625;0.0003687082;
10715.1982421875;0.0003713510;
10839.2656250000;0.0003743883;
10964.7812500000;0.0003779090;
11091.7500000000;0.0003822385;
11220.1894531250;0.0003869238;
11350.1035156250;0.0003921402;
11481.5351562500;0.0003975536;
11614.4873046875;0.0004030979;
11748.9804687500;0.0004086665;
11885.0166015625;0.0004142025;
12022.6425781250;0.0004197199;
12161.8613281250;0.0004251427;
12302.6923828125;0.0004306034;
12445.1396484375;0.0004361314;
12589.2509765625;0.0004417716;
12735.0312500000;0.0004472077;
12882.4990234375;0.0004521648;
13031.6611328125;0.0004564520;
13182.5634765625;0.0004595078;
13335.2138671875;0.0004623220;
13489.6328125000;0.0004655673;
13645.8388671875;0.0004697898;
13803.8388671875;0.0004757926;
13963.6826171875;0.0004824931;
14125.3789062500;0.0004889556;
14288.9462890625;0.0004946670;
14454.3925781250;0.0004993682;
14621.7705078125;0.0005035007;
14791.0869140625;0.0005082864;
14962.3632812500;0.0005145438;
15135.6064453125;0.0005228907;
15310.8730468750;0.0005335483;
15488.1679687500;0.0005460574;
15667.5166015625;0.0005590292;
15848.9248046875;0.0005701279;
16032.4511718750;0.0005783329;
16218.1025390625;0.0005836671;
16405.9042968750;0.0005866907;
16595.8613281250;0.0005882903;
16788.0371093750;0.0005896963;
16982.4375000000;0.0005923568;
17179.0898437500;0.0005973526;
17378.0000000000;0.0006047045;
17579.2324218750;0.0006134353;
17782.7949218750;0.0006217465;
17988.7148437500;0.0006303780;
18197.0175781250;0.0006378645;
18407.7148437500;0.0006440157;
18620.8710937500;0.0006487081;
18836.4941406250;0.0006558331;
19054.6171875000;0.0006661962;
19275.2421875000;0.0006787171;
19498.4433593750;0.0006921935;
19724.2304687500;0.0007050707;
19952.6328125000;0.0007161897;
20183.6562500000;0.0007251124;
20417.3769531250;0.0007318422;
20653.8046875000;0.0007341827;
20892.9687500000;0.0007358879;
21134.8808593750;0.0007421104;
21379.6171875000;0.0007504773;
21627.1875000000;0.0007597171;
21877.6230468750;0.0007693848;
22130.9355468750;0.0007808910;
22387.2070312500;0.0007929950;
22646.4433593750;0.0008041362;
22908.6835937500;0.0008093072;
23173.9335937500;0.0008072758;
23442.2812500000;0.0008068522;
23713.7363281250;0.0008034310;
23988.3359375000;0.0008068646;
24266.1132812500;0.0008209155;
24547.0820312500;0.0008482381;
24831.3300781250;0.0008743448;
25118.8691406250;0.0008848084;
25409.7402343750;0.0008840530;
25703.9492187500;0.0008811555;
26001.5937500000;0.0008836765;
26302.6835937500;0.0008954386;
26607.2617187500;0.0009137939;
26915.3378906250;0.0009357100;
27227.0097656250;0.0009567367;
27542.2910156250;0.0009785615;
27861.2226562500;0.0010016524;
28183.8164062500;0.0010163800;
28510.1777343750;0.0010219965;
28840.3183593750;0.0010269142;
29174.2812500000;0.0010330786;
29512.0781250000;0.0010403350;
29853.8203125000;0.0010508796;
30199.5175781250;0.0010725990;
30549.2207031250;0.0010853090;
30902.9375000000;0.0010992817;
31260.7851562500;0.0011135163;
31622.7773437500;0.0011283155;
31988.9589843750;0.0011428382;
32359.3828125000;0.0011564986;
32734.0585937500;0.0011688543;
33113.1093750000;0.0011797659;
33496.5507812500;0.0011889478;
33884.4335937500;0.0011973820;
34276.7656250000;0.0012055434;
34673.6835937500;0.0012142980;
35075.1953125000;0.0012251198;
35481.3554687500;0.0012381884;
35892.1796875000;0.0012533076;
36307.8007812500;0.0012710597;
36728.2343750000;0.0012894355;
37153.5390625000;0.0013081648;
37583.7226562500;0.0013266822;
38018.9335937500;0.0013452801;
38459.1796875000;0.0013647918;
38904.5273437500;0.0013849485;
39354.9882812500;0.0014055403;
39810.7070312500;0.0014232998;
40271.7070312500;0.0014367145;
40738.0390625000;0.0014454246;
41209.7304687500;0.0014432379;
41686.9257812500;0.0014281822;
42169.6484375000;0.0013998618;
42657.9648437500;0.0013519003;
43151.9296875000;0.0012899991;
43651.5703125000;0.0012418207;
44157.0429687500;0.0012191940;
44668.3671875000;0.0012585337;
45185.6171875000;0.0013416323;
45708.8046875000;0.0014355824;
46238.0976562500;0.0015230591;
46773.5234375000;0.0015858827;
47315.1484375000;0.0016200143;
47862.9921875000;0.0016422464;
48417.2304687500;0.0016582726;
48977.8867187500;0.0016729189;
49545.0390625000;0.0016894004;
50118.7031250000;0.0017096276;
50699.0625000000;0.0017332396;
51286.1445312500;0.0017590601;
51880.0234375000;0.0017856513;
52480.7187500000;0.0018113194;
53088.4335937500;0.0018347420;
53703.1835937500;0.0018557779;
54325.0507812500;0.0018758662;
54954.0585937500;0.0018971529;
55590.4101562500;0.0019208626;
56234.1328125000;0.0019460649;
56885.3085937500;0.0019707885;
57544.0234375000;0.0019938285;
58210.3046875000;0.0020155173;
58884.3632812500;0.0020370597;
59566.2265625000;0.0020588571;
60255.9882812500;0.0020808261;
60953.6679687500;0.0021018153;
61659.4960937500;0.0021227903;
62373.4960937500;0.0021466219;
63095.7617187500;0.0021748531;
63826.3242187500;0.0022047043;
64565.4140625000;0.0022309297;
65313.0625000000;0.0022511948;
66069.3671875000;0.0022692834;
66834.3593750000;0.0022960880;
67608.2890625000;0.0023422032;
68391.1718750000;0.0023879879;
69183.1250000000;0.0024285968;
69984.1640625000;0.0024590641;
70794.5625000000;0.0024819060;
71614.3437500000;0.0024998549;
72443.6171875000;0.0025152010;
73282.4140625000;0.0025298856;
74131.0078125000;0.0025446338;
74989.4218750000;0.0025681434;
75857.7812500000;0.0026135857;
76736.1875000000;0.0026616345;
77624.6875000000;0.0027119329;
78523.5625000000;0.0027562978;
79432.8437500000;0.0027935100;
80352.6484375000;0.0028096866;
81283.0234375000;0.0028007086;
82224.2578125000;0.0028076083;
83176.3906250000;0.0028364765;
84139.5546875000;0.0028939850;
85113.7734375000;0.0029481824;
86099.3671875000;0.0029829044;
87096.3671875000;0.0030036585;
88104.9218750000;0.0030273080;
89125.0546875000;0.0030602694;
90157.1015625000;0.0030963966;
91201.0937500000;0.0031287496;
92257.1718750000;0.0031550252;
93325.3828125000;0.0031880818;
94406.0703125000;0.0032518513;
95499.2656250000;0.0033160148;
96605.1171875000;0.0033568561;
97723.6718750000;0.0033753871;
98855.2812500000;0.0033930328;
100000.0000000000;0.0034364183;
101157.9687500000;0.0034720914;
102329.3515625000;0.0035094293;
103514.1875000000;0.0035483998;
104712.8515625000;0.0035878697;
105925.3984375000;0.0036275359;
107151.9843750000;0.0036655029;
108392.6562500000;0.0037039567;
109647.8125000000;0.0037429291;
110917.5000000000;0.0037885706;
112201.8984375000;0.0038388174;
113501.0390625000;0.0038987736;
114815.3437500000;0.0039635589;
116144.8750000000;0.0040304698;
117489.8046875000;0.0040925788;
118850.1718750000;0.0041463841;
120226.4218750000;0.0041937209;
121618.6093750000;0.0042320527;
123026.9218750000;0.0042717056;
124451.3984375000;0.0043149078;
125892.5156250000;0.0043671937;
127350.3125000000;0.0044282298;
128824.9921875000;0.0044911294;
130316.6093750000;0.0045531481;
131825.6406250000;0.0046044565;
133352.1406250000;0.0046462514;
134896.3281250000;0.0046822689;
136458.3906250000;0.0047154524;
138038.3906250000;0.0047525796;
139636.8281250000;0.0047963932;
141253.7812500000;0.0048448648;
142889.4687500000;0.0048962235;
144543.9218750000;0.0049481425;
146217.7031250000;0.0049986797;
147910.8593750000;0.0050502876;
149623.6250000000;0.0051074508;
151356.0625000000;0.0051740813;
153108.7187500000;0.0052515869;
154881.6875000000;0.0053366255;
156675.1718750000;0.0054203141;
158489.2500000000;0.0054913638;
160324.5156250000;0.0055512455;
162181.0312500000;0.0056077023;
164059.0312500000;0.0056675761;
165958.6093750000;0.0057309521;
167880.3593750000;0.0057908008;
169824.3750000000;0.0058390358;
171790.8906250000;0.0058744675;
173779.9843750000;0.0059048859;
175792.3125000000;0.0059413766;
177827.9375000000;0.0059953267;
179887.1406250000;0.0060570319;
181970.1875000000;0.0061374386;
184077.1406250000;0.0062301545;
186208.7031250000;0.0063210852;
188364.9531250000;0.0063871038;
190546.1562500000;0.0064690146;
192752.4218750000;0.0065931096;
194984.4375000000;0.0067585632;
197242.3125000000;0.0069311908;
199526.3125000000;0.0070660436;
201836.5625000000;0.0071409168;
204173.7656250000;0.0071707568;
206538.0468750000;0.0071680099;
208929.7031250000;0.0071987929;
211348.8125000000;0.0072558313;
213796.1718750000;0.0073047350;
216271.8750000000;0.0073481570;
218776.2343750000;0.0073897354;
221309.3593750000;0.0074644801;
223872.0625000000;0.0075585647;
226464.4375000000;0.0076575251;
229086.8281250000;0.0077639758;
231739.3437500000;0.0078699104;
234422.8125000000;0.0079833623;
237137.3750000000;0.0081614424;
239883.3593750000;0.0083625624;
242661.1406250000;0.0084971543;
245470.8125000000;0.0085653458;
248313.2968750000;0.0085623646;
251188.7031250000;0.0085247494;
254097.3906250000;0.0085230088;
257039.4843750000;0.0085868426;
260015.9375000000;0.0086431326;
263026.8437500000;0.0086670136;
266072.6250000000;0.0087599466;
269153.3750000000;0.0089944899;
272270.0937500000;0.0092435814;
275422.9062500000;0.0094170738;
278612.2187500000;0.0095611922;
281838.1562500000;0.0097536063;
285101.7812500000;0.0099922828;
288403.1875000000;0.0101201059;
291742.8125000000;0.0099939397;
295120.7812500000;0.0099616544;
298538.1875000000;0.0101216501;
301995.1875000000;0.0101697287;
305492.2187500000;0.0102474717;
309029.3750000000;0.0103612412;
312607.8437500000;0.0104895672;
316227.7812500000;0.0106423739;
319889.5937500000;0.0108032515;
323593.8125000000;0.0109687401;
327340.5937500000;0.0111179138;
331131.0937500000;0.0112591712;
334965.5000000000;0.0113873864;
338844.3125000000;0.0115078967;
342767.6562500000;0.0116275763;
346736.8125000000;0.0117487581;
350751.9375000000;0.0118699269;
354813.5312500000;0.0119898422;
358921.7812500000;0.0121029140;
363078.0000000000;0.0122099183;
367282.3437500000;0.0123158125;
371535.3750000000;0.0124250539;
375837.2500000000;0.0125510190;
380189.3437500000;0.0126902945;
384591.8125000000;0.0128437011;
389045.2812500000;0.0129984776;
393549.8750000000;0.0131315095;
398107.0937500000;0.0132344803;
402717.0625000000;0.0132951112;
407380.4062500000;0.0133078163;
412097.3125000000;0.0133202719;
416869.2812500000;0.0133541133;
421696.5000000000;0.0134299546;
426579.6250000000;0.0135683417;
431519.3125000000;0.0137416851;
436515.6875000000;0.0139155760;
441570.4375000000;0.0140714925;
446683.6875000000;0.0142003903;
451856.1562500000;0.0143087097;
457088.0312500000;0.0144197550;
462380.9687500000;0.0145526575;
467735.2187500000;0.0147088626;
473151.4687500000;0.0148792686;
478629.9062500000;0.0150462128;
484172.3125000000;0.0151894595;
489778.8750000000;0.0152953612;
495450.3750000000;0.0153630711;
501187.0000000000;0.0153994141;
506990.6250000000;0.0154060442;
512861.4375000000;0.0153816212;
518800.2187500000;0.0153506789;
524807.1875000000;0.0153842550;
530884.3125000000;0.0155462110;
537031.8125000000;0.0158234667;
543250.5000000000;0.0160971638;
549540.5625000000;0.0162201114;
555904.1250000000;0.0161232539;
562341.3125000000;0.0159373749;
568853.0625000000;0.0159164965;
575440.2500000000;0.0160451103;
582103.0625000000;0.0161091685;
588843.6250000000;0.0162526462;
595662.2500000000;0.0166995320;
602559.8750000000;0.0169988312;
609536.6875000000;0.0171885956;
616594.9375000000;0.0173349269;
623734.9375000000;0.0174857881;
630957.6250000000;0.0176468939;
638263.2500000000;0.0177446995;
645654.1250000000;0.0177469980;
653130.6250000000;0.0177724846;
660693.6875000000;0.0178197101;
668343.6250000000;0.0178970248;
676082.8750000000;0.0179998334;
683911.6875000000;0.0180536695;
691831.1875000000;0.0179087203;
699841.6875000000;0.0178361349;
707945.6250000000;0.0180193111;
716143.4375000000;0.0183636025;
724436.1875000000;0.0186646301;
732824.1250000000;0.0188174937;
741310.0625000000;0.0188826900;
749894.1875000000;0.0190687180;
758577.7500000000;0.0193202198;
767361.8750000000;0.0194253400;
776246.8750000000;0.0195037927;
785235.6250000000;0.0196024198;
794328.4375000000;0.0197276939;
803526.5000000000;0.0196000300;
812830.2500000000;0.0193112716;
822242.5625000000;0.0193270091;
831763.9375000000;0.0199656244;
841395.5000000000;0.0203487109;
851137.6875000000;0.0200498253;
860993.6250000000;0.0197423175;
870963.6875000000;0.0199811272;
881049.2500000000;0.0203915872;
891250.5625000000;0.0202871189;
901571.0000000000;0.0200298242;
912010.9375000000;0.0200912766;
922571.7500000000;0.0202441532;
933253.8750000000;0.0202628989;
944060.6875000000;0.0201269127;
954992.6250000000;0.0197973885;
966051.1875000000;0.0196896717;
977236.6875000000;0.0201913640;
988552.8125000000;0.0210863631;
1000000.0000000000;0.0216399860;
Trace;3;
Trace Mode;BLANK;
Trace;4;
Trace Mode;BLANK;
Trace;5;
Trace Mode;BLANK;
Trace;6;
Trace Mode;BLANK;
Window;4;Noise Spectrum Sy(f);
Trace;1;
Trace Mode;CLR/WRITE;
Trace Result;PN;
Smoothing;ON;
Smoothing Value;1.0000000000;%
Spurious Removal;ON;
Spurious Removal Threshold;6.0000000000;dB
Trace Offset;OFF;
Trace Offset;0.0000000000;dB
Trace Label;OFF;
Trace Label;Trace 1;
x-Unit;Hz;
y-Unit;1/sqrt(Hz);
Values;1401;
1.0000000149e-01;1.6196212123e-12;
1.0115794092e-01;1.6179197738e-12;
1.0232929885e-01;1.6145113675e-12;
1.0351421684e-01;1.6111092495e-12;
1.0471285135e-01;1.6077151546e-12;
1.0592536628e-01;1.6043273481e-12;
1.0715192556e-01;1.6001189089e-12;
1.0839270055e-01;1.5958946404e-12;
1.0964782536e-01;1.5916830571e-12;
1.1091748625e-01;1.5874799305e-12;
1.1220184714e-01;1.5829350634e-12;
1.1350108683e-01;1.5782715846e-12;
1.1481536180e-01;1.5736217667e-12;
1.1614485830e-01;1.5689856098e-12;
1.1748975515e-01;1.5622484860e-12;
1.1885021627e-01;1.5545909829e-12;
1.2022643536e-01;1.5469709931e-12;
1.2161859125e-01;1.5393884084e-12;
1.2302687019e-01;1.5263145565e-12;
1.2445146590e-01;1.5122206872e-12;
1.2589254975e-01;1.4982584401e-12;
1.2735031545e-01;1.4833759221e-12;
1.2882496417e-01;1.4618296807e-12;
1.3031667471e-01;1.4405963401e-12;
1.3182567060e-01;1.4196714550e-12;
1.3335214555e-01;1.3965674320e-12;
1.3489629328e-01;1.3721192151e-12;
1.3645830750e-01;1.3480990413e-12;
1.3803842664e-01;1.3252005829e-12;
1.3963682950e-01;1.3058398763e-12;
1.4125373960e-01;1.2867635560e-12;
1.4288938046e-01;1.2679645745e-12;
1.4454399049e-01;1.2596085199e-12;
1.4621771872e-01;1.2524149469e-12;
1.4791084826e-01;1.2452599715e-12;
1.4962357283e-01;1.2465071293e-12;
1.5135613084e-01;1.2506647194e-12;
1.5310874581e-01;1.2548360788e-12;
1.5488165617e-01;1.2614152344e-12;
1.5667510033e-01;1.2690845553e-12;
1.5848931670e-01;1.2768020148e-12;
1.6032452881e-01;1.2804938316e-12;
1.6218100488e-01;1.2828422135e-12;
1.6405896842e-01;1.2851920049e-12;
1.6595870256e-01;1.2784785166e-12;
1.6788041592e-01;1.2708256756e-12;
1.6982437670e-01;1.2618157387e-12;
1.7179083824e-01;1.2446609498e-12;
1.7378008366e-01;1.2277394813e-12;
1.7579236627e-01;1.2083612106e-12;
1.7782793939e-01;1.1863346677e-12;
1.7988708615e-01;1.1647110143e-12;
1.8197007477e-01;1.1431324637e-12;
1.8407718837e-01;1.1219044357e-12;
1.8620871007e-01;1.1023407664e-12;
1.8836489320e-01;1.0853300680e-12;
1.9054606557e-01;1.0685807707e-12;
1.9275251031e-01;1.0558474667e-12;
1.9498446584e-01;1.0436139800e-12;
1.9724227488e-01;1.0326508528e-12;
1.9952623546e-01;1.0227773489e-12;
2.0183664560e-01;1.0130226736e-12;
2.0417378843e-01;1.0034533968e-12;
2.0653802156e-01;9.9397475927e-13;
2.0892961323e-01;9.8486344947e-13;
2.1134889126e-01;9.7584841683e-13;
2.1379619837e-01;9.6902770096e-13;
2.1627184749e-01;9.6290998178e-13;
2.1877615154e-01;9.6049492145e-13;
2.2130948305e-01;9.6035126466e-13;
2.2387212515e-01;9.6391633824e-13;
2.2646443546e-01;9.7087951827e-13;
2.2908677161e-01;9.7998584074e-13;
2.3173947632e-01;9.9129114205e-13;
2.3442287743e-01;1.0020420908e-12;
2.3713737726e-01;1.0119927899e-12;
2.3988328874e-01;1.0179109075e-12;
2.4266099930e-01;1.0202211255e-12;
2.4547088146e-01;1.0156686690e-12;
2.4831329286e-01;1.0070205303e-12;
2.5118863583e-01;9.9097141083e-13;
2.5409725308e-01;9.7280289293e-13;
2.5703960657e-01;9.5075152178e-13;
2.6001596451e-01;9.2922631395e-13;
2.6302680373e-01;9.1040684106e-13;
2.6607251167e-01;8.9458822294e-13;
2.6915347576e-01;8.8325576237e-13;
2.7227014303e-01;8.7523819572e-13;
2.7542287111e-01;8.6891366498e-13;
2.7861210704e-01;8.6117083516e-13;
2.8183829784e-01;8.5127440036e-13;
2.8510180116e-01;8.3690384267e-13;
2.8840312362e-01;8.1752703565e-13;
2.9174268246e-01;7.9600155677e-13;
2.9512095451e-01;7.7193384063e-13;
2.9853826761e-01;7.5001691056e-13;
3.0199518800e-01;7.2991629017e-13;
3.0549213290e-01;7.1739364666e-13;
3.0902954936e-01;7.2570064107e-13;
3.1260794401e-01;7.3410385843e-13;
3.1622776389e-01;7.4260438293e-13;
3.1988951564e-01;7.5120335299e-13;
3.2359364629e-01;7.5990179860e-13;
3.2734069228e-01;7.6870107502e-13;
3.3113113046e-01;7.7760226643e-13;
3.3496543765e-01;7.8734263033e-13;
3.3884415030e-01;8.0306556760e-13;
3.4276777506e-01;8.1236460701e-13;
3.4673684835e-01;8.2177136190e-13;
3.5075187683e-01;8.3128702489e-13;
3.5481339693e-01;8.4091289704e-13;
3.5892194510e-01;8.5065022517e-13;
3.6307805777e-01;8.6050025612e-13;
3.6728230119e-01;8.7046439935e-13;
3.7153521180e-01;8.4359282797e-13;
3.7583738565e-01;8.1597163921e-13;
3.8018941879e-01;7.9507272077e-13;
3.8459178805e-01;7.8340112175e-13;
3.8904514909e-01;7.8091477512e-13;
3.9355006814e-01;7.8572136861e-13;
3.9810717106e-01;7.9415575678e-13;
4.0271702409e-01;8.0158595690e-13;
4.0738028288e-01;8.0255534206e-13;
4.1209751368e-01;7.9559427622e-13;
4.1686940193e-01;7.8156974165e-13;
4.2169651389e-01;7.6332240225e-13;
4.2657950521e-01;7.4457172199e-13;
4.3151906133e-01;7.2801102169e-13;
4.3651580811e-01;7.1377593506e-13;
4.4157046080e-01;6.9964411868e-13;
4.4668358564e-01;6.8328096002e-13;
4.5185595751e-01;6.6477324947e-13;
4.5708817244e-01;6.7111810900e-13;
4.6238100529e-01;6.7021220388e-13;
4.6773514152e-01;6.7013040082e-13;
4.7315126657e-01;6.6997351677e-13;
4.7863009572e-01;6.7569561057e-13;
