Type;FSWP-8;
63.0957260132;-142.5972900391;
63.8263397217;-142.5972900391;
64.5654144287;-142.5972900391;
65.3130645752;-142.5587310791;
66.0693511963;-142.5394287109;
66.8343963623;-142.4351196289;
67.6083068848;-142.0277404785;
68.3911743164;-141.5912017822;
69.1831054688;-140.4810638428;
69.9842071533;-139.6944274902;
70.7945785522;-139.6944274902;
71.6143417358;-139.6944274902;
72.4435958862;-139.6944274902;
73.2824554443;-139.6944274902;
74.1310272217;-139.6600036621;
74.9894180298;-139.5798187256;
75.8577575684;-139.4249725342;
76.7361450195;-139.4150543213;
77.6247100830;-139.2388610840;
78.5235595703;-139.0991668701;
79.4328155518;-138.9723663330;
80.3526077271;-138.9723663330;
81.2830429077;-139.0722351074;
82.2242584229;-139.1120758057;
83.1763687134;-139.1120758057;
84.1395034790;-139.1120758057;
85.1137924194;-139.1120758057;
86.0993652344;-139.1120758057;
87.0963668823;-139.1120758057;
88.1048965454;-139.1120758057;
89.1251068115;-139.3673400879;
90.1571197510;-139.5004119873;
91.2010955811;-139.5976409912;
92.2571487427;-139.6941528320;
93.3254394531;-139.7220153809;
94.4060897827;-139.7892608643;
95.4992599487;-141.3399810791;
96.6050872803;-141.6524658203;
97.7237243652;-141.7544097900;
98.8553085327;-141.7544097900;
100.0000000000;-141.7544097900;
101.1579742432;-141.7544097900;
102.3292999268;-141.7994995117;
103.5142440796;-141.9216613770;
104.7128524780;-141.9247283936;
105.9253921509;-141.9247283936;
107.1519241333;-141.9247283936;
108.3927154541;-141.9247283936;
109.6478118896;-142.0334472656;
110.9175033569;-142.0543518066;
112.2018356323;-142.2765502930;
113.5010986328;-142.7810974121;
114.8153457642;-143.3440246582;
116.1448745728;-143.9266510010;
117.4897384644;-144.4505004883;
118.8502349854;-144.8560638428;
120.2264251709;-145.1614685059;
121.6186141968;-145.2845153809;
123.0268554688;-145.2858123779;
124.4514694214;-145.2890014648;
125.8925170898;-145.2960357666;
127.3503112793;-145.2960357666;
128.8249206543;-145.2960357666;
130.3166809082;-145.2960357666;
131.8256378174;-145.2960357666;
133.3521423340;-145.2960357666;
134.8963165283;-145.2858123779;
136.4583129883;-145.2845153809;
138.0384674072;-145.2606353760;
139.6368255615;-145.1929473877;
141.2537841797;-145.1362762451;
142.8893890381;-145.1362762451;
144.5440063477;-145.1362762451;
146.2176971436;-145.1362762451;
147.9108581543;-145.1362762451;
149.6235504150;-145.1362762451;
151.3561553955;-145.1362762451;
153.1087188721;-145.1362762451;
154.8816833496;-145.1362762451;
156.6750793457;-145.1362762451;
158.4893341064;-145.1362762451;
160.3245086670;-145.1362762451;
162.1810302734;-145.1362762451;
164.0589447021;-145.1362762451;
165.9586944580;-145.1362762451;
167.8803710938;-144.8854064941;
169.8243713379;-144.8854064941;
171.7908020020;-144.8854064941;
173.7800903320;-144.8854064941;
175.7923126221;-144.8854064941;
177.8279418945;-144.8854064941;
179.8871459961;-144.8854064941;
181.9700775146;-144.8854064941;
184.0772399902;-145.4866485596;
186.2087097168;-146.1259765625;
188.3649444580;-146.4870300293;
190.5460662842;-146.5467681885;
192.7525329590;-146.5510864258;
194.9844360352;-146.5667114258;
197.2423095703;-146.5740966797;
199.5262145996;-146.5858001709;
201.8366699219;-146.5908508301;
204.1737670898;-146.6826171875;
206.5380401611;-146.7829589844;
208.9295806885;-146.8033142090;
211.3489227295;-146.8149261475;
213.7961730957;-146.8155670166;
216.2718658447;-146.8703155518;
218.7761230469;-146.8779144287;
221.3094787598;-146.8779144287;
223.8720703125;-146.8779144287;
226.4644470215;-146.8783874512;
229.0867156982;-146.8946075439;
231.7394714355;-146.9112243652;
234.4228210449;-146.9288940430;
237.1373748779;-146.9802703857;
239.8833618164;-146.9884033203;
242.6610107422;-147.0381774902;
245.4709472656;-147.0637512207;
248.3132934570;-147.2205352783;
251.1887054443;-147.3582611084;
254.0972595215;-147.3647003174;
257.0396423340;-147.3647003174;
260.0159301758;-147.3647003174;
263.0268554688;-147.3647003174;
266.0724792480;-147.3647003174;
269.1535339355;-147.3647003174;
272.2700805664;-147.3647003174;
275.4229125977;-147.3647003174;
278.6120605469;-147.2043304443;
281.8383178711;-147.1777038574;
285.1017761230;-147.1777038574;
288.4031677246;-147.1777038574;
291.7426452637;-147.1777038574;
295.1209411621;-147.1777038574;
298.5382080078;-147.1777038574;
301.9951782227;-147.1777038574;
305.4920349121;-147.1777038574;
309.0295410156;-147.3350677490;
312.6078491211;-147.4759979248;
316.2277526855;-147.5425262451;
319.8895874023;-147.5952606201;
323.5936584473;-147.6177062988;
327.3407592773;-147.6358642578;
331.1311035156;-147.6494293213;
334.9655151367;-147.6634063721;
338.8441467285;-147.6775817871;
342.7678527832;-147.6959533691;
346.7368164062;-147.7168426514;
350.7519226074;-147.7457580566;
354.8133544922;-147.7811889648;
358.9219970703;-147.8223724365;
363.0780029297;-147.8672943115;
367.2823486328;-147.9096527100;
371.5351867676;-147.9429016113;
375.8374328613;-147.9610443115;
